Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C17, C2, C23, C3, C4, C5, C6, C7, C8, C9",0402,14,100nF,C513772
"C13, C24",0603,2,10uF,C344022
"C14, C22, C25",0402,3,10nF,C60133
"C15, C16, C26",0402,3,1uF,C14445
"C18, C19",0402,2,14pF,C458857
"C20, C21",0402,2,2.2uF,C385032
C27,0603,1,1uF,C2918486
"FB1, FB2",0805,2,0R18,C74480
"J1, J2",DNP,2,DNP,DNP
J10,JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,1,JST_UART_3,C398546
J11,JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,1,JST_UART_5,C398546
J12,JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical,1,JST_RS232_1,C160258
J13,JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical,1,JST_RS232_2,C160258
J3,DNP,1,DNP,DNP
"J4, J5, J6",DNP,3,DNP,DNP
"J7, J8",JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,2,Conn_01x03_Socket,C398546
J9,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB_C_Receptacle_USB2.0_16P,C2988369
JST_CON_1,JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical,1,JST_CON_1,C160258
JST_CON_2,JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical,1,JST_CON_2,C160258
JST_CON_3,JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical,1,JST_CON_3,C160258
JST_CON_4,JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical,1,JST_CON_4,C160258
JST_CON_5,JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical,1,JST_CON_5,C160258
JST_CON_6,JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical,1,JST_CON_6,C160258
JST_CON_7,JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical,1,JST_CON_7,C160258
"LED1, LED2",0402,2,BLUE,C2844007
LED3,0402,1,GREEN,C264408
"LED4, LED5",0402,2,RED,C136765
"R10, R8",0402,2,3k4,C3013164
"R11, R9",0402,2,6k6,C852899
"R12, R22, R3, R6",0402,4,10k,C60490
"R13, R15",0402,2,5.1K,C25905
"R14, R16, R17, R18, R21",0402,5,1k,C106235
R4,0402,1,22R,C114765
R7,0402,1,1M,C138033
SW1,SW_SPST_B3U-1000P,1,SW_RST,C231329
SW2,SW_SPST_B3U-1000P,1,SW_BOOT,C231329
SW3,SW_SPST_B3U-1000P,1,SW_CAL,C231329
SW4,SW_SPST_B3U-1000P,1,SW_OK,C231329
U1,DNP,1,DNP,DNP
U2,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q16JVSS,C131025
U3,DNP,1,DNP,DNP
U4,SOIC_A-33GB_RIT,1,RT9167A-33GB,C113513
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,8MHz,C2835958
