Designator,Mid X,Mid Y,Rotation,Layer
C1,144.25,-49.25,270,top
C10,138,-71,180,top
C11,150.75,-74.75,270,top
C12,142.5,-70.8,0,top
C13,130.4,-75.3,90,top
C14,131.25,-68,180,top
C15,131.23,-66.75,180,top
C16,134.5,-65,180,top
C17,148.6,-71,0,top
C18,141.601,-68.21,180,top
C19,139.401,-68.21,180,top
C2,142.02,-53.75,180,top
C20,131.675,-86.625,90,top
C21,147,-91.1,0,top
C22,159.5,-92.75,0,top
C23,159.52,-90.25,180,top
C24,159.5,-86.9125,180,top
C25,158.25,-84.25,90,top
C26,164.25,-84.1625,90,top
C27,159.75,-79.25,90,top
C3,141.75,-44.75,180,top
C4,147.5,-56.1,0,top
C5,138.25,-44.75,180,top
C6,135.8,-44.75,0,top
C7,147,-90,180,top
C8,131.75,-75.25,90,top
C9,144.5,-70.9,180,top
FB1,134.75,-67.5,90,top
FB2,161.75,-91.75,90,top
J1,158.25,-56.77,180,top
J12,122.5,-59.65,0,top
J13,122.5,-53.7,0,top
J2,162.25,-56.77,180,top
J3,154.5,-82.995,180,top
J7,121.25,-68.25,180,top
J8,121.25,-74.5,180,top
J9,160.25,-102.5,0,top
JST_CON_1,151.05,-99,270,top
JST_CON_2,144.8,-99,270,top
JST_CON_3,138.7,-99,90,top
JST_CON_4,132.45,-99,90,top
JST_CON_5,122.5,-93.2,180,top
JST_CON_6,122.5,-87,180,top
JST_CON_7,122.5,-80.75,180,top
LED1,162,-45,90,top
LED2,165.46,-45,90,top
LED3,171,-52,0,top
LED4,171,-55.5,0,top
LED5,170.25,-76.525,270,top
R10,128.2,-74.15,0,top
R11,128.2,-75.4,180,top
R12,130.7,-79.6,180,top
R13,158.87,-96.6,90,top
R14,162.08,-47.5625,90,top
R15,161.8,-96.6,90,top
R16,165.5,-47.5625,90,top
R17,168.4375,-52,0,top
R18,168.4375,-55.46,0,top
R21,170.25,-78.76,270,top
R22,131.4,-62.3,270,top
R3,148.1,-67.3,180,top
R4,150.5,-55.6,90,top
R6,170,-71.9,90,top
R7,140.4,-70.1,180,top
R8,127.8,-67.45,0,top
R9,127.8,-68.7,180,top
SW1,169.7,-60.8,180,top
SW2,169.7,-68.3,180,top
SW3,156.9,-45.4,270,top
SW4,149.7,-45.4,270,top
U2,149.9,-61.5,0,top
U4,161.5,-83.6625,180,top
Y1,140.451,-65.91,0,top
