Designator,Mid X,Mid Y,Rotation,Layer
C1,144.25,-49.25,270.0,top
C10,138.0,-71.0,180.0,top
C11,150.75,-74.75,270.0,top
C12,142.5,-70.9,0.0,top
C13,130.4,-75.3,90.0,top
C14,131.25,-68.0,180.0,top
C15,131.23,-66.75,180.0,top
C16,134.5,-65.0,180.0,top
C17,148.6,-71.0,0.0,top
C18,141.601,-68.21,180.0,top
C19,139.401,-68.21,180.0,top
C2,142.02,-53.75,180.0,top
C20,131.675,-86.625,90.0,top
C21,147.0,-91.1,0.0,top
C22,159.5,-92.75,0.0,top
C23,159.52,-90.25,180.0,top
C24,159.5,-86.9125,180.0,top
C25,158.25,-84.25,90.0,top
C26,164.25,-84.1625,90.0,top
C27,159.75,-79.25,90.0,top
C3,141.425,-44.75,180.0,top
C4,147.5,-56.1,0.0,top
C5,138.2,-44.75,180.0,top
C6,135.8,-44.75,0.0,top
C7,147.0,-90.0,180.0,top
C8,131.75,-75.25,90.0,top
C9,144.5,-70.9,180.0,top
FB1,134.75,-67.5,90.0,top
FB2,161.75,-91.75,90.0,top
J1,157.1,-56.7,90.0,top
J10,158.75,-72.7,0.0,top
J11,158.75,-66.2,0.0,top
J12,122.5,-59.65,0.0,top
J13,122.5,-53.7,0.0,top
J2,162.6,-56.7,90.0,top
J3,154.5,-82.995,180.0,top
J7,121.25,-68.25,180.0,top
J8,121.25,-74.5,180.0,top
J9,160.25,-102.5,0.0,top
JST_CON_1,151.05,-99.0,270.0,top
JST_CON_2,144.8,-99.0,270.0,top
JST_CON_3,138.7,-99.0,90.0,top
JST_CON_4,132.45,-99.0,90.0,top
JST_CON_5,122.5,-93.2,180.0,top
JST_CON_6,122.5,-87.0,180.0,top
JST_CON_7,122.5,-80.75,180.0,top
LED1,162.0,-45.0,90.0,top
LED2,165.46,-45.0,90.0,top
LED3,171.0,-52.0,0.0,top
LED4,171.0,-55.5,0.0,top
LED5,170.25,-76.525,270.0,top
R10,128.2,-74.15,0.0,top
R11,128.2,-75.4,180.0,top
R12,130.7,-79.6,180.0,top
R13,158.87,-96.6,90.0,top
R14,162.08,-47.5625,90.0,top
R15,161.8,-96.6,90.0,top
R16,165.5,-47.5625,90.0,top
R17,168.4375,-52.0,0.0,top
R18,168.4375,-55.46,0.0,top
R21,170.25,-78.76,270.0,top
R22,131.4,-62.3,270.0,top
R3,148.1,-67.3,180.0,top
R4,150.5,-55.6,90.0,top
R6,171.5,-71.7,90.0,top
R7,140.4,-70.9,180.0,top
R8,127.8,-67.45,0.0,top
R9,127.8,-68.7,180.0,top
SW1,171.2,-60.8,180.0,top
SW2,171.2,-68.1,180.0,top
SW3,156.9,-45.4,270.0,top
SW4,149.7,-45.4,270.0,top
U1,138.25,-49.25,270.0,top
U2,149.9,-61.5,0.0,top
U3,141.25,-80.5,180.0,top
U4,161.5,-83.6625,180.0,top
Y1,140.451,-65.91,0.0,top
